id,Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
169,Ammana,Digital Lending,"P2P / Marketplace Consumer Lending, Customer Cash-Advance",,2018,Private,Indonesia,Indonesia,,,,,Active
170,Amount,"Enterprise Tech Provisioning, Digital Identity","Cloud Computing, Financial Management & Business Intelligence, Fraud Prevention & Risk Management",2018.0,2019,Private,United States,United States,201-500,,,,Active
171,Ampleforth,Digital Payments,Algorithmic Stablecoin,,2018,Other,Unidentified,United States,,,,,Active
172,Amplify,Digital Payments,API Hubs for Payments,2016.0,2016,Private,Nigeria,Nigeria,Nov-50,,,,Active
173,Anapi,InsurTech,Technical Service Provider (TSP),2018.0,2018,Private,Singapore,Singapore,10-Jan,,,,Active
174,AnaStrat,WealthTech,Personal Financial Management / Planning,2021.0,2021,Private,India,India,10-Jan,,,,Active
175,Anaxago,Digital Capital Raising,"Equity-Based Crowdfunding, Real Estate Crowdfunding",2012.0,2012,Private,France,France,30,,,,Active
176,Anaxee,"Digital Identity, Enterprise Tech Provisioning","KYC Solutions, API Management, Data aggregation",2016.0,2017,Private,India,India,51-200,,,,Active
177,Anchorage Digital,"Cryptoasset Exchange, Digital Custody","Institutional Brokerage Services, Third-Party Custody, Market data",2017.0,2019,Private,United States,United States,51-200,,,,Active
178,Andromeda Exchange,Cryptoasset Exchange,P2P Cryptoasset Marketplaces,2018.0,2018,Private,Philippines,Philippines,,2019.0,,,Inactive
179,Angel One,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning",1996.0,2001,Private,India,India,1001-5000,,,,Active
180,AngelHub,"Digital Capital Raising, RegTech","Equity-Based Crowdfunding, Profiling & Due Diligence, Education and Training",2017.0,2018,Private,"Hong Kong SAR, China","Hong Kong SAR, China",Nov-50,,,,Active
181,AngelList,Digital Capital Raising,Equity-Based Crowdfunding,2010.0,2013,Private,United States,United States,6,,,,Active
182,angelMD,Digital Capital Raising,Equity-Based Crowdfunding,2013.0,2013,Private,United States,United States,30,,,,Active
183,Angels Den,Digital Capital Raising,Equity-Based Crowdfunding,2007.0,2013,Private,United Kingdom,United Kingdom,6,,,,Active
184,ANNA Money ,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, Digital Accounting, Money Transfer (P2P / P2B / B2P / B2B)",2016.0,2018,Private,United Kingdom,United Kingdom,51-200,,,,Active
185,Anorak Technologies,InsurTech,"Comparison Portal, Digital Brokers or Agents, Technical Service Provider (TSP)",2017.0,2017,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
186,Antecipa,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2016.0,2016,Private,Brazil,Brazil,30,,,,Active
187,Anthem,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2018.0,2018,Private,India,India,51-200,,,,Active
188,Antpool,Consensus Services,"Pool Operation, Hardware Manufacturing",2016.0,2017,Private,Singapore,China,Nov-50,,,,Active
189,Antrocket.com,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2012.0,2013,Private,Puerto Rico,Argentina,,,,,Active
190,Antworks Money,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2012.0,2012,Private,India,India,176,,,,Active
191,Anycoin Direct,Cryptoasset Exchange,Retail Brokerage Services,2013.0,2013,Private,Netherlands,Netherlands,37,,,,Active
192,Anyfin,WealthTech,Personal Financial Management / Planning,,2017,Private,Sweden,Sweden,51-200,,,,Active
193,Anyi Health,Digital Lending,Balance Sheet Consumer Lending,2019.0,2020,Private,United States,Nigeria,10-Jan,,,,Active
194,anyitou.com,Digital Lending,P2P / Marketplace Business Lending,2013.0,2014,Private,China,China,30,,,,Active
195,AnytimeLoan,Digital Lending,P2P / Marketplace Consumer Lending,2016.0,2014,Private,India,India,51-200,,,,Active
196,Anywhere 2 Go,InsurTech,"Usage-Based Insurance, Claims & Risk Management Solutions, Technical Service Provider (TSP)",2013.0,2008,Private,Thailand,Thailand,51-200,,,,Active
197,ApacFin,Digital Lending,"Balance Sheet Property Lending, Balance Sheet Business Lending",2017.0,2018,Private,India,India,501-1000,,,,Active
198,APACINSURTECH,Digital Capital Raising,Equity-Based Crowdfunding,2020.0,2020,Private,"Hong Kong SAR, China","Hong Kong SAR, China",10-Jan,,,,Active
199,Aparto,Digital Capital Raising,Real Estate Crowdfunding,2017.0,2017,Private,Norway,United States,,,,,Active
200,Apiax,RegTech,"Regulatory Reporting, Dynamic Compliance",2017.0,2017,Private,Switzerland,Switzerland,51-200,,,,Active
201,Apifiny,Cryptoasset Exchange,"Market Making, Clearing",,2019,Private,United States,United Kingdom,,,,,Active
202,Apollo Agriculture,Digital Lending,"Balance Sheet Business Lending, Education and Training",2016.0,2017,Private,Kenya,Kenya,51-200,,,,Active
203,Apollo Finvest,"Enterprise Tech Provisioning, Digital Lending","API Management, Balance Sheet Business Lending, P2P / Marketplace Business Lending",1985.0,1985,Private,India,India,Nov-50,,,,Active
204,Apollo Insurance,"InsurTech, Enterprise Tech Provisioning","Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions, Comparison Portal, Cloud Computing",2017.0,2020,Private,Canada,Canada,Nov-50,,,,Active
205,Apontoque,Digital Capital Raising,Reward-Based Crowdfunding,2014.0,2014,Private,Spain,Spain,6,,,,Active
206,ApplePie Capital,Digital Lending,P2P / Marketplace Business Lending,2014.0,2015,Private,United States,United States,30,,,,Active
207,AppliedApps,"Alternative Credit Analytics, WealthTech, Digital Identity","Credit Scoring, Personal Financial Management / Planning, Security & Biometrics",2016.0,2016,Private,United States,United States,10-Jan,,,,Active
208,AppMan,"Enterprise Tech Provisioning, InsurTech, Digital Payments","Financial Management & Business Intelligence, AI / ML / NLP, Technical Service Provider (TSP), Points of Access (PoS / mPoS / Online PoS)",2011.0,2011,Private,Thailand,Thailand,51-200,,,,Active
209,AppsFunder,Digital Capital Raising,Reward-Based Crowdfunding,2011.0,2012,Private,Belgium,Belgium,6,,,,Active
210,AppZone,"Digital Payments, Enterprise Tech Provisioning","Settlement & Clearing Services Providers, Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P), Cloud Computing",2008.0,2008,Private,Nigeria,Nigeria,51-200,,,,Active
211,Aprila,"Digital Lending, Digital Banks","Invoice Trading, Balance Sheet Business Lending, Fully Digitally Native Bank (MSME)",2016.0,2016,Private,Norway,Norway,Nov-50,,,,Active
212,Aptopayments,Digital Payments,Consumer Spending,2014.0,2014,Private,United States,United States,,,,,Active
213,AQMETRICS,RegTech,"Dynamic Compliance, Risk Analytics",2012.0,2012,Private,Ireland,Ireland,28,,,,Active
214,Aquaconnect,"InsurTech, Digital Lending, Enterprise Tech Provisioning","Digital Brokers or Agents, P2P / Marketplace Business Lending, Financial Management & Business Intelligence",2017.0,2018,Private,India,India,51-200,,,,Active
215,Aracar Group,"Digital Lending, Digital Capital Raising","Balance Sheet Property Lending, Customer Cash-Advance, Balance Sheet Consumer Lending, Revenue / Profit Share Crowdfunding, Debt-Based Securities",2017.0,2018,Private,Argentina,Argentina,51-200,,,,Active
216,Arboribus,Digital Lending,P2P / Marketplace Business Lending,2011.0,2013,Private,Spain,Spain,30,,,,Active
217,Arcadi ,"Digital Payments, Cryptoasset Exchange","Digital Remittances (Cross Border-P2P), Retail Brokerage Services",2017.0,2019,Private,Chile,Chile,10-Jan,,,,Active
218,Archax Ltd,Cryptoasset Exchange,"Retail Brokerage Services, High-Frequency Trading (HFT) Services, Order-Book",2018.0,2018,Private,United Kingdom,United Kingdom,51-200,,,,Active
219,ArchOver,Digital Lending,P2P / Marketplace Business Lending,2014.0,2014,Private,United Kingdom,United Kingdom,30,,,,Active
220,Arctic Intelligence,"Enterprise Tech Provisioning, RegTech, Digital Identity","Cloud Computing, Regulatory Reporting, Dynamic Compliance, KYC Solutions",2017.0,2017,Private,Australia,Australia,21,,,,Active
221,Arcus,Enterprise Tech Provisioning,API Management,2012.0,2013,Private,United States,United States,51-200,,,,Active
222,Areatak,"Consensus Services, Enterprise Tech Provisioning","Proprietary Hashing, Enterprise Blockchain",,2017,Private,"Iran, Islamic Rep.","Iran, Islamic Rep.",20,,,,Active
223,Areeba,"Digital Payments, Enterprise Tech Provisioning, RegTech","Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, Payment Gateways, Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Financial Management & Business Intelligence, Risk Analytics",2017.0,2017,Private,Lebanon,Lebanon,51-200,,,,Active
224,AREX Markets,Digital Lending,Invoice Trading,2014.0,2014,Private,Ireland,Ireland,Nov-50,,,,Active
225,ArgaPro,Digital Lending,P2P / Marketplace Business Lending,,2019,Private,Indonesia,Indonesia,Nov-50,2021.0,,,Inactive
226,Argenbtc,Cryptoasset Exchange,Single Dealer Platform / OTC Trading,,2014,Private,Argentina,Argentina,,,,,Active
227,Argent,"Digital Custody, Cryptoasset Exchange","Unhosted Cryptoasset Wallet, Retail Brokerage Services, Decentralised Exchange (DEX) Relayer",2017.0,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
228,Armory,Digital Custody,"Hosted Cryptoasset Wallet, Business consulting",2011.0,2011,Private,United States,United States,,,,,Active
229,ArtaBit,Digital Payments,"Money Transfer (Cryptoasset), Payment processor",2013.0,2013,Private,Indonesia,Indonesia,,2015.0,,,Inactive
230,Arthena,Digital Capital Raising,Equity-Based Crowdfunding,2013.0,2015,Private,United States,United States,6,,,,Active
231,Artis Turba,Cryptoasset Exchange,"Order-Book, Advanced Trading Services, Bitcoin Teller Machines (BTM), Clearing",,2017,Private,South Africa,South Africa,4,,,,Active
232,ArtistShare,Digital Capital Raising,Reward-Based Crowdfunding,2000.0,2003,Private,Germany,United States,6,,,,Active
233,Artoo,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2010.0,2010,Private,India,India,Nov-50,2020.0,,,Inactive
234,Arturo,Enterprise Tech Provisioning,"API Management, AI / ML / NLP, Financial Management & Business Intelligence",2017.0,2019,Private,United States,United States,51-200,,,,Active
235,Aruhi,Digital Lending,"Balance Sheet Property Lending, Balance Sheet Consumer Lending",,2021,,Japan,Japan,,,,,Active
236,Arwen,"Cryptoasset Exchange, Digital Custody","Clearing, Key Management Services",2017.0,2019,Private,United States,United States,10-Jan,,,,Active
237,Asaak,Digital Lending,Balance Sheet Business Lending,2016.0,2016,Private,Uganda,United States,51-200,,,,Active
238,Asante,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Consumer Lending",2016.0,2018,Private,Kenya,Kenya,Nov-50,,,,Active
239,AseguraloHoy.com,InsurTech,"Comparison Portal, Digital Brokers or Agents",2017.0,2017,Private,Peru,Peru,10-Jan,,,,Active
240,Asia Nexgen Bitcoin Exchange,"Cryptoasset Exchange, Digital Custody, Digital Payments","Order-Book, Hosted Cryptoasset Wallet, Consumer Spending, Single Dealer Platform / OTC Trading",2013.0,2013,Private,"Hong Kong SAR, China","Hong Kong SAR, China",,2021.0,,,Inactive
241,AsiaFinance Group,Enterprise Tech Provisioning,Financial Management & Business Intelligence,,2021,Private,Singapore,Singapore,51-200,,,,Active
242,AsiaKredit,Digital Lending,Balance Sheet Consumer Lending,2017.0,2017,Private,Philippines,Singapore,Nov-50,2020.0,,,Inactive
243,AsiaVerify,"RegTech, Digital Identity","Dynamic Compliance, Profiling & Due Diligence, KYC Solutions",2019.0,2019,,Singapore,China,Nov-50,,,,Active
244,ASICMiner,Consensus Services,"Hardware Manufacturing, Cloud Mining",2012.0,2013,Private,China,China,,,,,Active
245,Asiola,Digital Capital Raising,Reward-Based Crowdfunding,2015.0,2016,Private,Thailand,Thailand,30,,,,Active
246,ASPIRATION,"WealthTech, Digital Payments, Digital Banks, Digital Savings","Personal Financial Management / Planning, Digital Wealth Management, Money Transfer (P2P / P2B / B2P / B2B), Banking-as-a-Service (BaaS), Digital Micro Saving Solutions, Education and Training",2013.0,2014,Private,United States,United States,51-200,,,,Active
247,Aspire,"Digital Lending, Digital Banks","Balance Sheet Business Lending, Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME)",2018.0,2018,Private,United States,Singapore,51-200,,,,Active
248,Aspiria,Digital Lending,P2P / Marketplace Business Lending,2014.0,2015,Private,Mexico,Mexico,30,,,,Active
249,Assessor SAC,Digital Payments,Digital Remittances (Domestic-P2P),,2019,Private,Peru,Peru,10-Jan,,,,Active
250,Asset Vantage,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Digital Accounting",2014.0,2011,Private,Singapore,United States,51-200,,,,Active
251,Assetz Capital,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Property Lending",2012.0,2013,Private,United Kingdom,United Kingdom,30,,,,Active
252,Asura,InsurTech,"Comparison Portal, Digital Brokers or Agents",,2014,Private,Unidentified,Indonesia,Nov-50,,,,Active
253,At-Bay,"InsurTech, RegTech, Enterprise Tech Provisioning","Digital Brokers or Agents, Claims & Risk Management Solutions, Risk Analytics, API Management",2016.0,2017,Private,United States,United States,51-200,,,,Active
254,Ata Plus,Digital Capital Raising,Equity-Based Crowdfunding,2015.0,2016,Private,Malaysia,Malaysia,10-Jan,,,,Active
255,Athena Bitcoin,Cryptoasset Exchange,Bitcoin Teller Machines (BTM),,2015,Private,United States,United States,,,,,Active
256,Atidot,"Enterprise Tech Provisioning, InsurTech","AI / ML / NLP, Technical Service Provider (TSP)",2021.0,2021,Private,Israel,United States,Nov-50,,,,Active
257,Atlas Quantum,Cryptoasset Exchange,"High-Frequency Trading (HFT) Services, Trading Bots",2018.0,2018,Private,Brazil,Brazil,51-200,,,,Active
258,Atom Bank,"Digital Banks, Digital Lending, Digital Savings","Fully Digitally Native Bank (Retail), Balance Sheet Property Lending, Balance Sheet Business Lending, Digital Micro Saving Solutions",2013.0,2016,Private,United Kingdom,United Kingdom,201-500,,,,Active
259,Atom Finance,WealthTech,"Personal Financial Management / Planning, Industry research",2018.0,2019,Private,United States,United States,Nov-50,,,,Active
260,Atom Technologies,"Digital Payments, Enterprise Tech Provisioning","Points of Access (PoS / mPoS / Online PoS), Payment Gateways, Acquiring Services Providers for Merchants, eMoney Issuers, API Hubs for Payments, Financial Management & Business Intelligence",2016.0,2008,Private,India,India,201-500,,,,Active
261,Atome,"Digital Payments, Digital Lending, Digital Identity, Digital Banks","Points of Access (PoS / mPoS / Online PoS), P2P / Marketplace Business Lending, Customer Cash-Advance, P2P / Marketplace Consumer Lending, Fraud Prevention & Risk Management, KYC Solutions, Marketplace Bank (MSME), Security & Biometrics",2019.0,2019,Private,Singapore,Singapore,201-500,,,,Active
262,Atomic Fund,Cryptoasset Exchange,"Market Making, Single Dealer Platform / OTC Trading",,2017,Private,United States,United States,,,,,Active
263,Atominvest,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2017.0,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
264,Atozpay,Digital Payments,"Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B)",2018.0,2018,Private,Indonesia,Indonesia,Nov-50,,,,Active
265,Audeamus Risk,"RegTech, Enterprise Tech Provisioning","Dynamic Compliance, Regulatory Reporting, Risk Analytics, AI / ML / NLP",2016.0,2016,Private,Australia,Australia,10-Jan,,,,Active
266,Augmint,Digital Payments,Asset-Backed Stablecoin,,2018,,Unidentified,United Kingdom,9,,,,Active
267,Aura,Digital Lending,Balance Sheet Consumer Lending,2012.0,2012,Private,United States,United States,750,,,,Active
268,Austreme,RegTech,"Profiling & Due Diligence, Risk Analytics, Dynamic Compliance",,2010,Private,Australia,"Hong Kong SAR, China",Nov-50,,,,Active
269,Autobooks ,"Enterprise Tech Provisioning, Digital Payments","Digital Accounting, Electronic Invoicing, Financial Management & Business Intelligence, API Management, Money Transfer (P2P / P2B / B2P / B2B)",2017.0,2016,Private,United States,United States,51-200,,,,Active
270,Auxesis,Enterprise Tech Provisioning,Enterprise Blockchain,2014.0,2014,Private,India,India,51-200,,,,Active
271,Auxilio,Digital Lending,Balance Sheet Consumer Lending,2016.0,2017,Private,India,India,51-200,,,,Active
272,Auxmoney,"Digital Lending, WealthTech, Digital Capital Raising","P2P / Marketplace Consumer Lending, Financial Comparison Sites, Personal Financial Management / Planning, Reward-Based Crowdfunding, Donation-Based Crowdfunding, Revenue / Profit Share Crowdfunding",2007.0,2007,Private,Germany,Germany,201-500,,,,Active
273,Avail,"Digital Lending, Digital Payments, WealthTech","Balance Sheet Consumer Lending, Customer Cash-Advance, Top-ups & Refills, Personal Financial Management / Planning",2016.0,2017,Private,India,India,51-200,,,,Active
