Name,Segments,Categories,Incorporation year,Launch year,Ownership type,Incorporation Country,Operational HQ,Number of employees,Cessation date,Cessation of op. reason,Acquisition status,Status
Angel One,WealthTech,"Digital Wealth Management, Personal Financial Management / Planning",1996,2001,Private,India,India,1001-5000,,,,Active
AngelHub,"Digital Capital Raising, RegTech","Equity-Based Crowdfunding, Profiling & Due Diligence, Education and Training",2017,2018,Private,"Hong Kong SAR, China","Hong Kong SAR, China",Nov-50,,,,Active
AngelList,Digital Capital Raising,Equity-Based Crowdfunding,2010,2013,Private,United States,United States,6,,,,Active
angelMD,Digital Capital Raising,Equity-Based Crowdfunding,2013,2013,Private,United States,United States,30,,,,Active
Angels Den,Digital Capital Raising,Equity-Based Crowdfunding,2007,2013,Private,United Kingdom,United Kingdom,6,,,,Active
ANNA Money ,"Enterprise Tech Provisioning, Digital Payments","Electronic Invoicing, Digital Accounting, Money Transfer (P2P / P2B / B2P / B2B)",2016,2018,Private,United Kingdom,United Kingdom,51-200,,,,Active
Anorak Technologies,InsurTech,"Comparison Portal, Digital Brokers or Agents, Technical Service Provider (TSP)",2017,2017,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Antecipa,Digital Lending,"P2P / Marketplace Business Lending, Invoice Trading",2016,2016,Private,Brazil,Brazil,30,,,,Active
Anthem,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2018,2018,Private,India,India,51-200,,,,Active
Antpool,Consensus Services,"Pool Operation, Hardware Manufacturing",2016,2017,Private,Singapore,China,Nov-50,,,,Active
Antrocket.com,Digital Capital Raising,"Reward-Based Crowdfunding, Donation-Based Crowdfunding",2012,2013,Private,Puerto Rico,Argentina,,,,,Active
Antworks Money,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Consumer Lending",2012,2012,Private,India,India,176,,,,Active
Anycoin Direct,Cryptoasset Exchange,Retail Brokerage Services,2013,2013,Private,Netherlands,Netherlands,37,,,,Active
Anyfin,WealthTech,Personal Financial Management / Planning,,2017,Private,Sweden,Sweden,51-200,,,,Active
Anyi Health,Digital Lending,Balance Sheet Consumer Lending,2019,2020,Private,United States,Nigeria,10-Jan,,,,Active
anyitou.com,Digital Lending,P2P / Marketplace Business Lending,2013,2014,Private,China,China,30,,,,Active
AnytimeLoan,Digital Lending,P2P / Marketplace Consumer Lending,2016,2014,Private,India,India,51-200,,,,Active
Anywhere 2 Go,InsurTech,"Usage-Based Insurance, Claims & Risk Management Solutions, Technical Service Provider (TSP)",2013,2008,Private,Thailand,Thailand,51-200,,,,Active
ApacFin,Digital Lending,"Balance Sheet Property Lending, Balance Sheet Business Lending",2017,2018,Private,India,India,501-1000,,,,Active
APACINSURTECH,Digital Capital Raising,Equity-Based Crowdfunding,2020,2020,Private,"Hong Kong SAR, China","Hong Kong SAR, China",10-Jan,,,,Active
Aparto,Digital Capital Raising,Real Estate Crowdfunding,2017,2017,Private,Norway,United States,,,,,Active
Apiax,RegTech,"Regulatory Reporting, Dynamic Compliance",2017,2017,Private,Switzerland,Switzerland,51-200,,,,Active
Apifiny,Cryptoasset Exchange,"Market Making, Clearing",,2019,Private,United States,United Kingdom,,,,,Active
Apollo Agriculture,Digital Lending,"Balance Sheet Business Lending, Education and Training",2016,2017,Private,Kenya,Kenya,51-200,,,,Active
Apollo Finvest,"Enterprise Tech Provisioning, Digital Lending","API Management, Balance Sheet Business Lending, P2P / Marketplace Business Lending",1985,1985,Private,India,India,Nov-50,,,,Active
Apollo Insurance,"InsurTech, Enterprise Tech Provisioning","Digital Brokers or Agents, Customer Management, Claims & Risk Management Solutions, Comparison Portal, Cloud Computing",2017,2020,Private,Canada,Canada,Nov-50,,,,Active
Apontoque,Digital Capital Raising,Reward-Based Crowdfunding,2014,2014,Private,Spain,Spain,6,,,,Active
ApplePie Capital,Digital Lending,P2P / Marketplace Business Lending,2014,2015,Private,United States,United States,30,,,,Active
AppliedApps,"Alternative Credit Analytics, WealthTech, Digital Identity","Credit Scoring, Personal Financial Management / Planning, Security & Biometrics",2016,2016,Private,United States,United States,10-Jan,,,,Active
AppMan,"Enterprise Tech Provisioning, InsurTech, Digital Payments","Financial Management & Business Intelligence, AI / ML / NLP, Technical Service Provider (TSP), Points of Access (PoS / mPoS / Online PoS)",2011,2011,Private,Thailand,Thailand,51-200,,,,Active
AppsFunder,Digital Capital Raising,Reward-Based Crowdfunding,2011,2012,Private,Belgium,Belgium,6,,,,Active
AppZone,"Digital Payments, Enterprise Tech Provisioning","Settlement & Clearing Services Providers, Digital Remittances (Domestic-P2P), Digital Remittances (Cross Border-P2P), Cloud Computing",2008,2008,Private,Nigeria,Nigeria,51-200,,,,Active
Aprila,"Digital Lending, Digital Banks","Invoice Trading, Balance Sheet Business Lending, Fully Digitally Native Bank (MSME)",2016,2016,Private,Norway,Norway,Nov-50,,,,Active
Aptopayments,Digital Payments,Consumer Spending,2014,2014,Private,United States,United States,,,,,Active
AQMETRICS,RegTech,"Dynamic Compliance, Risk Analytics",2012,2012,Private,Ireland,Ireland,28,,,,Active
Aquaconnect,"InsurTech, Digital Lending, Enterprise Tech Provisioning","Digital Brokers or Agents, P2P / Marketplace Business Lending, Financial Management & Business Intelligence",2017,2018,Private,India,India,51-200,,,,Active
Aracar Group,"Digital Lending, Digital Capital Raising","Balance Sheet Property Lending, Customer Cash-Advance, Balance Sheet Consumer Lending, Revenue / Profit Share Crowdfunding, Debt-Based Securities",2017,2018,Private,Argentina,Argentina,51-200,,,,Active
Arboribus,Digital Lending,P2P / Marketplace Business Lending,2011,2013,Private,Spain,Spain,30,,,,Active
Arcadi ,"Digital Payments, Cryptoasset Exchange","Digital Remittances (Cross Border-P2P), Retail Brokerage Services",2017,2019,Private,Chile,Chile,10-Jan,,,,Active
Archax Ltd,Cryptoasset Exchange,"Retail Brokerage Services, High-Frequency Trading (HFT) Services, Order-Book",2018,2018,Private,United Kingdom,United Kingdom,51-200,,,,Active
ArchOver,Digital Lending,P2P / Marketplace Business Lending,2014,2014,Private,United Kingdom,United Kingdom,30,,,,Active
Arctic Intelligence,"Enterprise Tech Provisioning, RegTech, Digital Identity","Cloud Computing, Regulatory Reporting, Dynamic Compliance, KYC Solutions",2017,2017,Private,Australia,Australia,21,,,,Active
Arcus,Enterprise Tech Provisioning,API Management,2012,2013,Private,United States,United States,51-200,,,,Active
Areatak,"Consensus Services, Enterprise Tech Provisioning","Proprietary Hashing, Enterprise Blockchain",,2017,Private,"Iran, Islamic Rep.","Iran, Islamic Rep.",20,,,,Active
Areeba,"Digital Payments, Enterprise Tech Provisioning, RegTech","Points of Access (PoS / mPoS / Online PoS), Acquiring Services Providers for Merchants, Payment Gateways, Money Transfer (P2P / P2B / B2P / B2B), Top-ups & Refills, Financial Management & Business Intelligence, Risk Analytics",2017,2017,Private,Lebanon,Lebanon,51-200,,,,Active
AREX Markets,Digital Lending,Invoice Trading,2014,2014,Private,Ireland,Ireland,Nov-50,,,,Active
ArgaPro,Digital Lending,P2P / Marketplace Business Lending,,2019,Private,Indonesia,Indonesia,Nov-50,2021,,,Inactive
Argenbtc,Cryptoasset Exchange,Single Dealer Platform / OTC Trading,,2014,Private,Argentina,Argentina,,,,,Active
Argent,"Digital Custody, Cryptoasset Exchange","Unhosted Cryptoasset Wallet, Retail Brokerage Services, Decentralised Exchange (DEX) Relayer",2017,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Armory,Digital Custody,"Hosted Cryptoasset Wallet, Business consulting",2011,2011,Private,United States,United States,,,,,Active
ArtaBit,Digital Payments,"Money Transfer (Cryptoasset), Payment processor",2013,2013,Private,Indonesia,Indonesia,,2015,,,Inactive
Arthena,Digital Capital Raising,Equity-Based Crowdfunding,2013,2015,Private,United States,United States,6,,,,Active
Artis Turba,Cryptoasset Exchange,"Order-Book, Advanced Trading Services, Bitcoin Teller Machines (BTM), Clearing",,2017,Private,South Africa,South Africa,4,,,,Active
ArtistShare,Digital Capital Raising,Reward-Based Crowdfunding,2000,2003,Private,Germany,United States,6,,,,Active
Artoo,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2010,2010,Private,India,India,Nov-50,2020,,,Inactive
Arturo,Enterprise Tech Provisioning,"API Management, AI / ML / NLP, Financial Management & Business Intelligence",2017,2019,Private,United States,United States,51-200,,,,Active
Aruhi,Digital Lending,"Balance Sheet Property Lending, Balance Sheet Consumer Lending",,2021,,Japan,Japan,,,,,Active
Arwen,"Cryptoasset Exchange, Digital Custody","Clearing, Key Management Services",2017,2019,Private,United States,United States,10-Jan,,,,Active
Asaak,Digital Lending,Balance Sheet Business Lending,2016,2016,Private,Uganda,United States,51-200,,,,Active
Asante,Digital Lending,"Balance Sheet Business Lending, Balance Sheet Consumer Lending",2016,2018,Private,Kenya,Kenya,Nov-50,,,,Active
AseguraloHoy.com,InsurTech,"Comparison Portal, Digital Brokers or Agents",2017,2017,Private,Peru,Peru,10-Jan,,,,Active
Asia Nexgen Bitcoin Exchange,"Cryptoasset Exchange, Digital Custody, Digital Payments","Order-Book, Hosted Cryptoasset Wallet, Consumer Spending, Single Dealer Platform / OTC Trading",2013,2013,Private,"Hong Kong SAR, China","Hong Kong SAR, China",,2021,,,Inactive
AsiaFinance Group,Enterprise Tech Provisioning,Financial Management & Business Intelligence,,2021,Private,Singapore,Singapore,51-200,,,,Active
AsiaKredit,Digital Lending,Balance Sheet Consumer Lending,2017,2017,Private,Philippines,Singapore,Nov-50,2020,,,Inactive
AsiaVerify,"RegTech, Digital Identity","Dynamic Compliance, Profiling & Due Diligence, KYC Solutions",2019,2019,,Singapore,China,Nov-50,,,,Active
ASICMiner,Consensus Services,"Hardware Manufacturing, Cloud Mining",2012,2013,Private,China,China,,,,,Active
Asiola,Digital Capital Raising,Reward-Based Crowdfunding,2015,2016,Private,Thailand,Thailand,30,,,,Active
ASPIRATION,"WealthTech, Digital Payments, Digital Banks, Digital Savings","Personal Financial Management / Planning, Digital Wealth Management, Money Transfer (P2P / P2B / B2P / B2B), Banking-as-a-Service (BaaS), Digital Micro Saving Solutions, Education and Training",2013,2014,Private,United States,United States,51-200,,,,Active
Aspire,"Digital Lending, Digital Banks","Balance Sheet Business Lending, Fully Digitally Native Bank (Retail), Fully Digitally Native Bank (MSME)",2018,2018,Private,United States,Singapore,51-200,,,,Active
Aspiria,Digital Lending,P2P / Marketplace Business Lending,2014,2015,Private,Mexico,Mexico,30,,,,Active
Assessor SAC,Digital Payments,Digital Remittances (Domestic-P2P),,2019,Private,Peru,Peru,10-Jan,,,,Active
Asset Vantage,Enterprise Tech Provisioning,"Financial Management & Business Intelligence, Digital Accounting",2014,2011,Private,Singapore,United States,51-200,,,,Active
Assetz Capital,Digital Lending,"P2P / Marketplace Business Lending, P2P / Marketplace Property Lending",2012,2013,Private,United Kingdom,United Kingdom,30,,,,Active
Asura,InsurTech,"Comparison Portal, Digital Brokers or Agents",,2014,Private,Unidentified,Indonesia,Nov-50,,,,Active
At-Bay,"InsurTech, RegTech, Enterprise Tech Provisioning","Digital Brokers or Agents, Claims & Risk Management Solutions, Risk Analytics, API Management",2016,2017,Private,United States,United States,51-200,,,,Active
Ata Plus,Digital Capital Raising,Equity-Based Crowdfunding,2015,2016,Private,Malaysia,Malaysia,10-Jan,,,,Active
Athena Bitcoin,Cryptoasset Exchange,Bitcoin Teller Machines (BTM),,2015,Private,United States,United States,,,,,Active
Atidot,"Enterprise Tech Provisioning, InsurTech","AI / ML / NLP, Technical Service Provider (TSP)",2021,2021,Private,Israel,United States,Nov-50,,,,Active
Atlas Quantum,Cryptoasset Exchange,"High-Frequency Trading (HFT) Services, Trading Bots",2018,2018,Private,Brazil,Brazil,51-200,,,,Active
Atom Bank,"Digital Banks, Digital Lending, Digital Savings","Fully Digitally Native Bank (Retail), Balance Sheet Property Lending, Balance Sheet Business Lending, Digital Micro Saving Solutions",2013,2016,Private,United Kingdom,United Kingdom,201-500,,,,Active
Atom Finance,WealthTech,"Personal Financial Management / Planning, Industry research",2018,2019,Private,United States,United States,Nov-50,,,,Active
Atom Technologies,"Digital Payments, Enterprise Tech Provisioning","Points of Access (PoS / mPoS / Online PoS), Payment Gateways, Acquiring Services Providers for Merchants, eMoney Issuers, API Hubs for Payments, Financial Management & Business Intelligence",2016,2008,Private,India,India,201-500,,,,Active
Atome,"Digital Payments, Digital Lending, Digital Identity, Digital Banks","Points of Access (PoS / mPoS / Online PoS), P2P / Marketplace Business Lending, Customer Cash-Advance, P2P / Marketplace Consumer Lending, Fraud Prevention & Risk Management, KYC Solutions, Marketplace Bank (MSME), Security & Biometrics",2019,2019,Private,Singapore,Singapore,201-500,,,,Active
Atomic Fund,Cryptoasset Exchange,"Market Making, Single Dealer Platform / OTC Trading",,2017,Private,United States,United States,,,,,Active
Atominvest,Enterprise Tech Provisioning,Financial Management & Business Intelligence,2017,2018,Private,United Kingdom,United Kingdom,Nov-50,,,,Active
Atozpay,Digital Payments,"Top-ups & Refills, Money Transfer (P2P / P2B / B2P / B2B)",2018,2018,Private,Indonesia,Indonesia,Nov-50,,,,Active
Audeamus Risk,"RegTech, Enterprise Tech Provisioning","Dynamic Compliance, Regulatory Reporting, Risk Analytics, AI / ML / NLP",2016,2016,Private,Australia,Australia,10-Jan,,,,Active
Augmint,Digital Payments,Asset-Backed Stablecoin,,2018,,Unidentified,United Kingdom,9,,,,Active
Aura,Digital Lending,Balance Sheet Consumer Lending,2012,2012,Private,United States,United States,750,,,,Active
Austreme,RegTech,"Profiling & Due Diligence, Risk Analytics, Dynamic Compliance",,2010,Private,Australia,"Hong Kong SAR, China",Nov-50,,,,Active
Autobooks ,"Enterprise Tech Provisioning, Digital Payments","Digital Accounting, Electronic Invoicing, Financial Management & Business Intelligence, API Management, Money Transfer (P2P / P2B / B2P / B2B)",2017,2016,Private,United States,United States,51-200,,,,Active
Auxesis,Enterprise Tech Provisioning,Enterprise Blockchain,2014,2014,Private,India,India,51-200,,,,Active
Auxilio,Digital Lending,Balance Sheet Consumer Lending,2016,2017,Private,India,India,51-200,,,,Active
Auxmoney,"Digital Lending, WealthTech, Digital Capital Raising","P2P / Marketplace Consumer Lending, Financial Comparison Sites, Personal Financial Management / Planning, Reward-Based Crowdfunding, Donation-Based Crowdfunding, Revenue / Profit Share Crowdfunding",2007,2007,Private,Germany,Germany,201-500,,,,Active
Avail,"Digital Lending, Digital Payments, WealthTech","Balance Sheet Consumer Lending, Customer Cash-Advance, Top-ups & Refills, Personal Financial Management / Planning",2016,2017,Private,India,India,51-200,,,,Active
Avant,Digital Lending,"P2P / Marketplace Consumer Lending, Balance Sheet Consumer Lending, Balance Sheet Business Lending",2012,2013,Private,United States,United States,750,,,,Active
Avantee,Digital Lending,P2P / Marketplace Business Lending,2018,2018,Private,Indonesia,Indonesia,Nov-50,,,,Active
AvidXchange ,Enterprise Tech Provisioning,"Electronic Invoicing, Digital Accounting",2000,2003,Public,United States,United States,1001-5000,,,,Active
Avista,Digital Lending,Balance Sheet Consumer Lending,2018,2020,Private,Colombia,Colombia,201-500,,,,Active
Avla,Digital Lending,Debt-Based Securities,2012,2012,Private,Spain,Peru,30,,,,Active
Avvanz,InsurTech,"Parametric-Based Insurance, On-Demand Insurance",2016,2016,Private,Singapore,Singapore,Nov-50,,,,Active
AwanTunai,"Digital Lending, Digital Payments","Merchant Cash-Advance, Balance Sheet Business Lending, Points of Access (PoS / mPoS / Online PoS)",2017,2017,Private,Indonesia,Indonesia,51-200,,,,Active
AxeTrading,Cryptoasset Exchange,"Single Dealer Platform / OTC Trading, Advanced Trading Services",2008,2010,Private,United Kingdom,United Kingdom,55,,,,Active
AxiaFunder,Digital Capital Raising,"Reward-Based Crowdfunding, Equity-Based Crowdfunding",2016,2017,Private,United Kingdom,United Kingdom,,,,,Active
